anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shop_id,userid
False,267517110.0,gilang_pras65,2446.0,2461549648.0,,0.0,13.0,1590749187.0,1.0,7635492260.0,1590749187.0,,NETFLIX PREMIUM LIFETIME GARANS,1.0,22.0,0.0,0.0,0.0,0.0,30.0,5.0,156138371.0,267520353.0
,,,,,,,,,,,,,,,,,,,,,,,
False,267517110.0,gilang_pras65,2446.0,2462832572.0,,0.0,13.0,1590765676.0,1.0,7635492260.0,1590765676.0,,NETFLIX PREMIUM LIFETIME GARANS,1.0,22.0,0.0,0.0,0.0,0.0,30.0,5.0,156138371.0,267520353.0
,,,,,,,,,,,,,,,,,,,,,,,
False,267517110.0,gilang_pras65,2446.0,2464073427.0,,0.0,13.0,1590808557.0,1.0,7635492260.0,1590808557.0,,NETFLIX PREMIUM LIFETIME GARANS,1.0,22.0,0.0,0.0,0.0,0.0,30.0,5.0,156138371.0,267520353.0
,,,,,,,,,,,,,,,,,,,,,,,
False,71045018.0,uliarahmah,3404.0,2458594814.0,"Alhamdulillah bisa log in. Semoga seller slalu fast response kalau ada kendala saat log in. Gk kaya toko sebelah (Raja Netflix), password incorret, minta star 5. Udh lbh dr seminggu kgak d response pula. Hadeuh. Gak berkah itu toko. Mksh ya seller 😁 maaf br isi kuota. Jd baru dinilai",842.0,1156.0,1590706521.0,1.0,4424230615.0,1590706521.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,71046479.0
,,,,,,,,,,,,,,,,,,,,,,,
False,59628914.0,dhita.2,3404.0,2449603661.0,"Langsung dikirim akunnya gak lama setelah pesan. Dan responnya cepat, sesuai jam buka toko juga. Walaupun sudah malam, krn belum jam 10 malam, tetap lgsg dikirim dan cepat respon. Padahal kirain delay gitu sampai besok. Good job!! ",842.0,1156.0,1590520118.0,1.0,4424230615.0,1590520118.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,59630344.0
,,,,,,,,,,,,,,,,,,,,,,,
False,2664237.0,annisaretno,3404.0,2453275163.0,"Terima kasih atas respon dan pelayanannya, informasi yg dberikan jelas banget dan sellernya ramah.",842.0,1156.0,1590589692.0,1.0,4424230615.0,1590589692.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,2665518.0
,,,,,,,,,,,,,,,,,,,,,,,
