itemid,shopid,name,currency,stock,ctime,historical_sold,liked_count,view_count,catid,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,price_before_discount,has_lowest_price_guarantee,raw_discount,rating_star,show_free_shipping,is_preferred_plus_seller,shop_location,has_model_with_available_shopee_stock,can_use_cod,is_on_flash_sale
3154756433,179066421,Tefal Tefal Essentials Frypan 20cm Wajan Anti Lengket,IDR,165,1594204955,1630,1618,16247,46,None,129000.0,129000.0,129000.0,149000.0,149000.0,149000.0,False,13,4.830845771144278,True,False,KOTA JAKARTA UTARA,True,True,False
11723352,3261113,Maspion Wajan Teflon Frypan Set isi 2 pcs,IDR,629,1458047243,2994,3516,9400,46,Tidak Ada Merek,55000.0,55000.0,55000.0,60000.0,60000.0,60000.0,False,8,4.646266142616508,True,False,KOTA SURABAYA,False,True,False
1389377961,3882376,Presto Belly Pinggang 8L Alumunium,IDR,15,1533547157,1640,2204,12492,46,Tidak Ada Merek,165000.0,165000.0,165000.0,170000.0,170000.0,170000.0,False,3,4.791220556745182,True,False,KOTA JAKARTA BARAT,False,True,False
1843795282,4363412,Teflon MAXIM Valentino Halania Fry Pan 22cm 24cm 26cm,IDR,145,1547691766,5367,2098,6319,46,Maxim,68500.0,68500.0,86000.0,-1e-05,-1e-05,0.0,False,0,4.857627118644068,True,False,KOTA TANGERANG,False,True,False
3539211610,7615744,Pamosroom Tutup Wajan Kuali Panci 30 Cm Tutup Wok Pan Enamel Stainless Dengan Kaca 30cm,IDR,1999,1592828506,1248,1341,14100,46,Tidak Ada Merek,40000.0,40000.0,40000.0,100000.0,100000.0,100000.0,True,60,4.869731800766283,False,True,KOTA JAKARTA UTARA,False,True,False
4844769513,11567601,Panci Cookware Set 13 HITAM - Panci Wajan Set 13 Tutup Kaca All In One,IDR,197,1596449658,1485,1738,3765,46,Tidak Ada Merek,110000.0,110000.0,110000.0,-1e-05,-1e-05,0.0,False,0,4.5359375,False,False,KOTA JAKARTA UTARA,False,True,False
5167634906,13058062,Panci Hot pot Sekat / Suki Shabu Stainless Pot 28n30 / PANCI SUKI MANGKOK SUP STEAMBOAT 2 rasa,IDR,1483,1607063590,1481,2750,9841,46,Tidak Ada Merek,78200.0,78200.0,87400.0,86000.0,95000.0,86000.0,False,11,4.808199121522694,False,False,KOTA JAKARTA BARAT,False,True,False
4236615268,15230138,Frypan Set teplon anti lengket Hitam TRI J 18CM + 25CM,IDR,74,1591329338,1239,677,24797,46,,39500.0,39500.0,39500.0,-1e-05,-1e-05,0.0,False,0,4.539969834087481,False,False,KAB. BANDUNG,False,True,False
2368419795,15288385,Teflon/wajan Calypso Penggorengan Anti Lengket Tanpa Minyak,IDR,401,1561791806,4217,6342,30461,46,,29000.0,29000.0,43000.0,-1e-05,-1e-05,0.0,True,0,4.802931596091205,False,False,KAB. BEKASI,False,True,False
3245642320,16292081,Panci Kukus Susun 2 Stainless 28 cm / Dandang Steamer,IDR,33,1596790204,1343,1284,17600,46,Tidak Ada Merek,54000.0,54000.0,54000.0,72500.0,72500.0,72500.0,False,26,4.497936726272352,True,False,KOTA TANGERANG,False,True,False
2344064835,18015102,WAJAN ENAMEL ANTI GORES  34-36 CM (GSF),IDR,430,1561231304,11263,8150,51276,46,,36582.0,36582.0,36582.0,46900.0,46900.0,46900.0,True,22,4.595092024539877,False,False,KAB. BEKASI,False,True,False
3907357218,19508316,Panci susu deep fryer goreng kukus masak steamer saringan multifungsi 3in1 22cm,IDR,1539,1573972200,3546,6841,20619,46,Tidak Ada Merek,99000.0,99000.0,102000.0,-1e-05,-1e-05,0.0,False,0,4.891491395793499,False,True,KOTA BANDUNG,False,True,False
7844121678,24151787,"( termurah ) YOSHIKAWA GREEN / RED WOK PAN TEFLON CL UKURAN 20CM, 22CM, 24CM, 26CM, 28CM, 30CM",IDR,730,1596002802,1153,1857,31025,46,Yoshikawa,86000.0,86000.0,128000.0,-1e-05,-1e-05,0.0,False,0,4.823446327683616,False,False,KOTA JAKARTA BARAT,False,True,False
3562422727,25676340,Cypruz - Paket hemat marble cookware set(5),IDR,8,1605096113,15,135,2567,46,cypruz,625680.0,625680.0,625680.0,711000.0,711000.0,711000.0,False,12,4.636363636363637,False,False,KOTA TANGERANG,False,True,False
5960493317,26405521,Teflon Maxim Neostone Frypan 20 22 24 26 cm | Fry Pan Anti Lengket Penggorengan 20cm 22cm 24cm 26cm,IDR,76,1604248743,2194,3129,34444,46,Maxim,84900.0,84900.0,117900.0,99900.0,129900.0,99900.0,False,15,4.892622352081812,False,True,KOTA MALANG,False,False,False
2916876563,28061005,Maxim Valentino Frypan Teflon,IDR,9480,1612625662,4301,281,14009,46,,48500.0,48500.0,93000.0,-1e-05,-1e-05,0.0,False,0,4.819277108433735,False,False,KAB. KUDUS,False,True,False
6514763650,28382953,PANCI KUKUS TUTUP KACA STEAMER RICE COOKER Alat Masak Kukus Sayur Nasi Kue TUTUP KACA 24 CM EM38,IDR,74,1578733141,482,266,2143,46,Tidak Ada Merek,166000.0,166000.0,166000.0,195000.0,195000.0,195000.0,False,15,4.863636363636363,False,False,KOTA JAKARTA BARAT,False,True,False
495647163,35017261,MASPION Teflon Frypan Set 2in1 : 18cm dan 23cm - Teplon Fry Pan Wajan Anti Lengket Murah,IDR,1835,1505648700,54211,38415,42829,46,maspion,47990.0,47990.0,47990.0,52000.0,52000.0,52000.0,False,8,4.743483453945057,True,True,KOTA SURABAYA,False,True,False
4749769480,55974578,MOEGEN GERMANY Panci Wajan Marble Wok PAN,IDR,1669,1598772908,2170,2261,13298,46,,164900.0,164900.0,184779.0,-1e-05,-1e-05,0.0,False,0,4.884194053208137,False,False,KOTA JAKARTA BARAT,False,False,False
5845362550,58300195,Happy call double pan jumbo 32cm,IDR,288,1596723248,3933,2220,22550,46,,159500.0,159500.0,159500.0,265000.0,265000.0,265000.0,False,40,4.789224952741021,False,False,KOTA JAKARTA BARAT,False,True,False
6248057956,62788367,steincookware Paket Ruby Panci Murah,IDR,999,1597979829,1,56,945,46,Tidak Ada Merek,999000.0,999000.0,999000.0,-1e-05,-1e-05,0.0,False,0,0.0,False,True,KOTA JAKARTA UTARA,False,True,False
3338197497,72109688,BOLDe Super Pan Wajan / Wok Black 24 cm,IDR,234,1592204617,2967,5571,46214,46,Bolde,184800.0,184800.0,184800.0,299000.0,299000.0,299000.0,False,38,4.876195835678109,True,False,KOTA JAKARTA UTARA,True,True,False
3755558958,86662519,PARIM Panci Steamer Stainless 2 Tingkat Kukusan Stainless Diameter 28CM BERMEREK YK DESIGN YK-805,IDR,963,1601717750,1975,3051,25353,46,YK Design,82000.0,82000.0,82000.0,158000.0,158000.0,158000.0,False,48,4.58298926507019,True,False,KOTA TANGERANG,False,True,False
2666979178,87790200,Micoe Panci Set Panci Masak Stainless Steel Tidak Menempel,IDR,351,1565938390,561,3300,30869,46,Micoe,260000.0,260000.0,260000.0,598000.0,598000.0,598000.0,False,57,4.734513274336283,True,False,KOTA TANGERANG,False,True,False
3749430551,94544100,(TERBARU) wajan enamel anti lengket anti lecet WAJAN ENAMEL MARBLE WARNA 34 CM PENGGORENGAN WARNA,IDR,10527,1598585413,2231,1220,13631,46,Tidak Ada Merek,29500.0,29500.0,29500.0,89900.0,89900.0,89900.0,False,67,4.688282138794084,False,False,KOTA JAKARTA BARAT,False,True,False
